Tür,İlaç,Ruhsat Sahibi,İthal/Yerli,İmal,Menşei,İthalatçı,İhracatçı,Takdim,Etken Madde,Grup,Uygulama,Türler,Açıklama
Aşı,Aborvac R Sheep,Vetal Hayvan Sağlığı Ürünleri A.Ş.,Yerli,Vetal Hayvan Sağlığı Ürünleri A.Ş.,-,-,-,"20,50,100 ve 200 doz","ml ürün içinde ;100000-200000 Brucella melitensis Rev 1, 12.5 mg Sukroz, 6.25mg Enzymatic digest of Casein (Casilon), 2.5 mg Sodyum glutamate",,enjeksiyonluk,"Keçi, Koyun",BAKANLIĞIMIZCA HASTALIK ÇIKIŞI YAPILAN YERLERDE/SÜRÜLERDE UYGULANABİLİR. 8 aylıktan büyük dişi koyun ve keçilerde kullanılır. Kuzu ve oğlaklar ile gebe hayvanlara uygulanmaz.
Aşı,Aborvac R Sheep,Vetal Hayvan Sağlığı Ürünleri A.Ş.,Yerli,Vetal Hayvan Sağlığı Ürünleri A.Ş.,-,-,-,"20,50,100 ve 200 doz","ml ürün içinde ;100000-200000 Brucella melitensis Rev 1, 12.5 mg Sukroz, 6.25mg Enzymatic digest of Casein (Casilon), 2.5 mg Sodyum glutamate",,enjeksiyonluk,"Keçi, Koyun",BAKANLIĞIMIZCA HASTALIK ÇIKIŞI YAPILAN YERLERDE/SÜRÜLERDE UYGULANABİLİR. 8 aylıktan büyük dişi koyun ve keçilerde kullanılır. Kuzu ve oğlaklar ile gebe hayvanlara uygulanmaz.
Aşı,Aborvac S Calf,Vetal Hayvan Sağlığı Ürünleri A.Ş.,Yerli,Vetal Hayvan Sağlığı Ürünleri A.Ş.,-,-,-,"2,5,10,20 ve 50 Doz","ml ürün içinde ;40000000000-120000000000 Brucella abortus S19, 6.25mg Enzymatic digest of Casein (Casilon), 12.5 mg Sukroz, 2.5mg Sodyum glutamate",,enjeksiyonluk,Sığır,4-8 aylık dişi buzağılara uygulanır.
Aşı,Aborvac S Calf,Vetal Hayvan Sağlığı Ürünleri A.Ş.,Yerli,Vetal Hayvan Sağlığı Ürünleri A.Ş.,-,-,-,"2,5,10,20 ve 50 Doz","ml ürün içinde ;40000000000-120000000000 Brucella abortus S19, 6.25mg Enzymatic digest of Casein (Casilon), 12.5 mg Sukroz, 2.5mg Sodyum glutamate",,enjeksiyonluk,Sığır,4-8 aylık dişi buzağılara uygulanır.
Aşı,Aborvac S Calf,Vetal Hayvan Sağlığı Ürünleri A.Ş.,Yerli,Vetal Hayvan Sağlığı Ürünleri A.Ş.,-,-,-,"2,5,10,20 ve 50 Doz","ml ürün içinde ;40000000000-120000000000 Brucella abortus S19, 6.25mg Enzymatic digest of Casein (Casilon), 12.5 mg Sukroz, 2.5mg Sodyum glutamate",,enjeksiyonluk,Sığır,4-8 aylık dişi buzağılara uygulanır.
Aşı,Aborvac S Calf,Vetal Hayvan Sağlığı Ürünleri A.Ş.,Yerli,Vetal Hayvan Sağlığı Ürünleri A.Ş.,-,-,-,"2,5,10,20 ve 50 Doz","ml ürün içinde ;40000000000-120000000000 Brucella abortus S19, 6.25mg Enzymatic digest of Casein (Casilon), 12.5 mg Sukroz, 2.5mg Sodyum glutamate",,enjeksiyonluk,Sığır,4-8 aylık dişi buzağılara uygulanır.
Aşı,Aborvac S Cow,Vetal Hayvan Sağlığı Ürünleri A.Ş.,Yerli,Vetal Hayvan Sağlığı Ürünleri A.Ş.,-,-,-,"2,5,10,20 ve 50 Doz","ml ürün içinde ;1000000000-3000000000 Brucella abortus S19, 6.25 mg Enzymatic digest of Casein (Casilon), 2,5mg Sodyum glutamate, 12,5mg Sukroz",,enjeksiyonluk,Sığır,BRUCELLA İLE MÜCADELE TALİMATI GEREĞİ TÜRKİYE'DE KULLANIMDAN KALDIRILMIŞTIR.
Aşı,Aborvac S Cow,Vetal Hayvan Sağlığı Ürünleri A.Ş.,Yerli,Vetal Hayvan Sağlığı Ürünleri A.Ş.,-,-,-,"2,5,10,20 ve 50 Doz","ml ürün içinde ;1000000000-3000000000 Brucella abortus S19, 6.25 mg Enzymatic digest of Casein (Casilon), 2,5mg Sodyum glutamate, 12,5mg Sukroz",,enjeksiyonluk,Sığır,BRUCELLA İLE MÜCADELE TALİMATI GEREĞİ TÜRKİYE'DE KULLANIMDAN KALDIRILMIŞTIR.
Aşı,Aborvac S Cow,Vetal Hayvan Sağlığı Ürünleri A.Ş.,Yerli,Vetal Hayvan Sağlığı Ürünleri A.Ş.,-,-,-,"2,5,10,20 ve 50 Doz","ml ürün içinde ;1000000000-3000000000 Brucella abortus S19, 6.25 mg Enzymatic digest of Casein (Casilon), 2,5mg Sodyum glutamate, 12,5mg Sukroz",,enjeksiyonluk,Sığır,BRUCELLA İLE MÜCADELE TALİMATI GEREĞİ TÜRKİYE'DE KULLANIMDAN KALDIRILMIŞTIR.
Aşı,Aborvac S Cow,Vetal Hayvan Sağlığı Ürünleri A.Ş.,Yerli,Vetal Hayvan Sağlığı Ürünleri A.Ş.,-,-,-,"2,5,10,20 ve 50 Doz","ml ürün içinde ;1000000000-3000000000 Brucella abortus S19, 6.25 mg Enzymatic digest of Casein (Casilon), 2,5mg Sodyum glutamate, 12,5mg Sukroz",,enjeksiyonluk,Sığır,BRUCELLA İLE MÜCADELE TALİMATI GEREĞİ TÜRKİYE'DE KULLANIMDAN KALDIRILMIŞTIR.
İlaç,ABvarBio,Biohayat İlaç San. Ve Tic. Ltd. Şti.,İthal,Laboratorio BALDAN,Laboratorio BALDAN,Biohayat İlaç San. Ve Tic. Ltd. Şti.,Laboratorio BALDAN,Karton kutularda 10 adet tablet içeren polietilen poşetlerde (torbalarda) satışa sunulmuştur.,70g tablet ürün içinde ;13g timol,ektoparaziter,kovan içi,Arı,
İlaç,ACK-SİS,Anadolu İlaç Ve Kimya San. A.ş,Yerli,Damla İlaç Ve Kimya San. Tic. Ltd. Şti.,-,-,-,"20 ve 100 g.lık aluminyum poşetlerde (kutusuz) ve 1000g.lık plastik kutularda, 5g.lık ölçeği ile birlikte takdim edilmiştir.","1 g ürün içinde ;40.000 IU Vit. A, 15 mg. Vit. K3, 100 mg Vit. C",vit.-min.-aminoasit vb.,oral,"At, Keçi (Besi), Kedi, Koyun (Süt), Sığır(Besi), Tavuk (Et), Hindi (Et), Keçi (Süt), Koyun (Besi), Köpek, Sığır(Süt), Tavuk (Yumurta), diğer hayvanlarda",
İlaç,ACK-SİS,Anadolu İlaç Ve Kimya San. A.ş,Yerli,Damla İlaç Ve Kimya San. Tic. Ltd. Şti.,-,-,-,"20 ve 100 g.lık aluminyum poşetlerde (kutusuz) ve 1000g.lık plastik kutularda, 5g.lık ölçeği ile birlikte takdim edilmiştir.","1 g ürün içinde ;40.000 IU Vit. A, 15 mg. Vit. K3, 100 mg Vit. C",vit.-min.-aminoasit vb.,oral,"At, Keçi (Besi), Kedi, Koyun (Süt), Sığır(Besi), Tavuk (Et), Hindi (Et), Keçi (Süt), Koyun (Besi), Köpek, Sığır(Süt), Tavuk (Yumurta), diğer hayvanlarda",
İlaç,ACK-SİS,Anadolu İlaç Ve Kimya San. A.ş,Yerli,Damla İlaç Ve Kimya San. Tic. Ltd. Şti.,-,-,-,"20 ve 100 g.lık aluminyum poşetlerde (kutusuz) ve 1000g.lık plastik kutularda, 5g.lık ölçeği ile birlikte takdim edilmiştir.","1 g ürün içinde ;40.000 IU Vit. A, 15 mg. Vit. K3, 100 mg Vit. C",vit.-min.-aminoasit vb.,oral,"At, Keçi (Besi), Kedi, Koyun (Süt), Sığır(Besi), Tavuk (Et), Hindi (Et), Keçi (Süt), Koyun (Besi), Köpek, Sığır(Süt), Tavuk (Yumurta), diğer hayvanlarda",
İlaç,ACTİMİSİN,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,Yerli,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,-,-,-,Karton kutu içinde 50-100 ve 250 ml'lik Tip 2 amber renkli cam flakonlarda,1 ml ürün içinde ;300 mg tilmikosin,antibakteriyel,enjeksiyonluk,"Koyun (Besi), Sığır(Besi), Koyun (Süt)",
İlaç,ACTİMİSİN AK,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,Yerli,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,-,-,-,"60, 240 ve 480 ml'lik amber renkli cam şişeler ve amber renkli PET şişelerde karton kutu dış ambalaj içerisinde",1 ml ürün içinde ;250 mg tilmikosin,antibakteriyel,oral,"Hindi (Et), Tavuk (Et)",
İlaç,ACTİONİS,ATMACA İLAÇ SAN. A.Ş,İthal,Laboratorios Syva S. A.,Laboratorios Syva S. A.,ATMACA İLAÇ SAN. A.Ş,Laboratorios Syva S. A.,100 ve 250 ml'lik şeffaf cam flakonlar karton kutuda,1 mL ürün içinde ;50 mg seftiofur HCl,antibakteriyel,enjeksiyonluk,"Sığır(Besi), Sığır(Süt)",
İlaç,ACTİPEN,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,Yerli,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,-,-,-,Kutu içinde 4.5 g'lık toz içeren renksiz flakon + 10 ml. steril enjeksiyonluk su içeren renksiz cam flakon,"1 flakon ürün içinde ;1.200.000 IU benzil penisilin prokain, 400.000 IU benzil penisilin potasyum, 2 g (baza eşdeğer) streptomisin sülfat",antibakteriyel,enjeksiyonluk,"At, Koyun (Süt), Sığır(Besi), Koyun (Besi), Köpek, Sığır(Süt)",
İlaç,ACTİPEN,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,Yerli,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,-,-,-,Kutu içinde 4.5 g'lık toz içeren renksiz flakon + 10 ml. steril enjeksiyonluk su içeren renksiz cam flakon,"1 flakon ürün içinde ;1.200.000 IU benzil penisilin prokain, 400.000 IU benzil penisilin potasyum, 2 g (baza eşdeğer) streptomisin sülfat",antibakteriyel,enjeksiyonluk,"At, Koyun (Süt), Sığır(Besi), Koyun (Besi), Köpek, Sığır(Süt)",
İlaç,ACTİPEN,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,Yerli,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,-,-,-,Kutu içinde 4.5 g'lık toz içeren renksiz flakon + 10 ml. steril enjeksiyonluk su içeren renksiz cam flakon,"1 flakon ürün içinde ;1.200.000 IU benzil penisilin prokain, 400.000 IU benzil penisilin potasyum, 2 g (baza eşdeğer) streptomisin sülfat",antibakteriyel,enjeksiyonluk,"At, Koyun (Süt), Sığır(Besi), Koyun (Besi), Köpek, Sığır(Süt)",
İlaç,ACTİPEN LA,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,Yerli,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,-,-,-,"karton kutu içerisinde 20, 50,100 ml'lik ve plastik kutu içerisinde 250 ml'lik renksiz cam flakonlarda","1 ml ürün içinde ;100.000 IU benzil penisilin prokain, 200 mg (baza eşdeğer) dihidrostreptomisin sülfat, 100.000 IU benzil penisilin benzatin",antibakteriyel,enjeksiyonluk,"At, Koyun (Süt), Sığır(Besi), Koyun (Besi), Köpek, Sığır(Süt)",
İlaç,ACTİPEN LA,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,Yerli,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,-,-,-,"karton kutu içerisinde 20, 50,100 ml'lik ve plastik kutu içerisinde 250 ml'lik renksiz cam flakonlarda","1 ml ürün içinde ;100.000 IU benzil penisilin prokain, 200 mg (baza eşdeğer) dihidrostreptomisin sülfat, 100.000 IU benzil penisilin benzatin",antibakteriyel,enjeksiyonluk,"At, Koyun (Süt), Sığır(Besi), Koyun (Besi), Köpek, Sığır(Süt)",
İlaç,ACTİPEN LA,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,Yerli,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,-,-,-,"karton kutu içerisinde 20, 50,100 ml'lik ve plastik kutu içerisinde 250 ml'lik renksiz cam flakonlarda","1 ml ürün içinde ;100.000 IU benzil penisilin prokain, 200 mg (baza eşdeğer) dihidrostreptomisin sülfat, 100.000 IU benzil penisilin benzatin",antibakteriyel,enjeksiyonluk,"At, Koyun (Süt), Sığır(Besi), Koyun (Besi), Köpek, Sığır(Süt)",
İlaç,ACTIVATE,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,Yerli,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,-,-,-,"20, 50, 100 ml'lik renksiz cam flakonlarda, karton kutuda","1 ml ürün içinde ;2.5 mg ( baza eşdeğer) bakır glukonat, 1.25 mg sodyum selenit, 5 mg (baza eşdeğer) Manganez glukonat, 5 mg (baza eşdeğer) Çinko glukonat",vit.-min.-aminoasit vb.,enjeksiyonluk,"Keçi (Besi), Keçi (Süt), Koyun (Besi), Koyun (Süt), Sığır(Besi), Sığır(Süt)",kuzu.oğlak.buzağı ve besi danasında
İlaç,ACTIVATE,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,Yerli,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,-,-,-,"20, 50, 100 ml'lik renksiz cam flakonlarda, karton kutuda","1 ml ürün içinde ;2.5 mg ( baza eşdeğer) bakır glukonat, 1.25 mg sodyum selenit, 5 mg (baza eşdeğer) Manganez glukonat, 5 mg (baza eşdeğer) Çinko glukonat",vit.-min.-aminoasit vb.,enjeksiyonluk,"Keçi (Besi), Keçi (Süt), Koyun (Besi), Koyun (Süt), Sığır(Besi), Sığır(Süt)",kuzu.oğlak.buzağı ve besi danasında
İlaç,ACTIVATE,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,Yerli,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,-,-,-,"20, 50, 100 ml'lik renksiz cam flakonlarda, karton kutuda","1 ml ürün içinde ;2.5 mg ( baza eşdeğer) bakır glukonat, 1.25 mg sodyum selenit, 5 mg (baza eşdeğer) Manganez glukonat, 5 mg (baza eşdeğer) Çinko glukonat",vit.-min.-aminoasit vb.,enjeksiyonluk,"Keçi (Besi), Keçi (Süt), Koyun (Besi), Koyun (Süt), Sığır(Besi), Sığır(Süt)",kuzu.oğlak.buzağı ve besi danasında
İlaç,ACTIVATE,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,Yerli,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,-,-,-,"20, 50, 100 ml'lik renksiz cam flakonlarda, karton kutuda","1 ml ürün içinde ;2.5 mg ( baza eşdeğer) bakır glukonat, 1.25 mg sodyum selenit, 5 mg (baza eşdeğer) Manganez glukonat, 5 mg (baza eşdeğer) Çinko glukonat",vit.-min.-aminoasit vb.,enjeksiyonluk,"Keçi (Besi), Keçi (Süt), Koyun (Besi), Koyun (Süt), Sığır(Besi), Sığır(Süt)",kuzu.oğlak.buzağı ve besi danasında
İlaç,AD3E-MED,Ani-med Animal Medicine İlaç San. ve Tic. Ltd. Şti.,Yerli,Ani-med Animal Medicine İlaç San. ve Tic. Ltd. Şti.,-,-,-,"Karton kutu içinde 20, 50 ml ve 100 ml'lik amber renkli cam şişelerde","1 ml ürün içinde ;500.000 IU Vit. A, 50 mg Vit. E, 75.000 IU Vit. D3",vit.-min.-aminoasit vb.,enjeksiyonluk,"At, Keçi (Besi), Keçi (Süt), Sığır(Süt), Koyun (Besi), Koyun (Süt), Sığır(Besi), tavşanda","dana,buzağı,kuzu,oğlak ve tayda"
İlaç,AD3E-MED,Ani-med Animal Medicine İlaç San. ve Tic. Ltd. Şti.,Yerli,Ani-med Animal Medicine İlaç San. ve Tic. Ltd. Şti.,-,-,-,"Karton kutu içinde 20, 50 ml ve 100 ml'lik amber renkli cam şişelerde","1 ml ürün içinde ;500.000 IU Vit. A, 50 mg Vit. E, 75.000 IU Vit. D3",vit.-min.-aminoasit vb.,enjeksiyonluk,"At, Keçi (Besi), Keçi (Süt), Sığır(Süt), Koyun (Besi), Koyun (Süt), Sığır(Besi), tavşanda","dana,buzağı,kuzu,oğlak ve tayda"
İlaç,AD3E-MED,Ani-med Animal Medicine İlaç San. ve Tic. Ltd. Şti.,Yerli,Ani-med Animal Medicine İlaç San. ve Tic. Ltd. Şti.,-,-,-,"Karton kutu içinde 20, 50 ml ve 100 ml'lik amber renkli cam şişelerde","1 ml ürün içinde ;500.000 IU Vit. A, 50 mg Vit. E, 75.000 IU Vit. D3",vit.-min.-aminoasit vb.,enjeksiyonluk,"At, Keçi (Besi), Keçi (Süt), Sığır(Süt), Koyun (Besi), Koyun (Süt), Sığır(Besi), tavşanda","dana,buzağı,kuzu,oğlak ve tayda"
İlaç,ADECEL,Çelikler İlaç San. Ve Tic. Ltd. Şti.,Yerli,Çelikler İlaç San. Ve Tic. Ltd. Şti.,-,-,-,"Karton kutu içinde 20 mL, 50 mL,100 mL , 250 mL ve 500 mL'lik amber renkli cam şişelerde sunulmaktadır.","1 ml ürün içinde ;300.000 IU Vit. A palmitat, 50 mg Vit. E asetat , 100.000 IU Vit. D3",vit.-min.-aminoasit vb.,enjeksiyonluk,"At, Keçi (Besi), Keçi (Süt), Sığır(Süt), Koyun (Besi), Koyun (Süt), Sığır(Besi)","dana,düve,buzağı,kuzu,oğlak ve tayda"
İlaç,ADECEL,Çelikler İlaç San. Ve Tic. Ltd. Şti.,Yerli,Çelikler İlaç San. Ve Tic. Ltd. Şti.,-,-,-,"Karton kutu içinde 20 mL, 50 mL,100 mL , 250 mL ve 500 mL'lik amber renkli cam şişelerde sunulmaktadır.","1 ml ürün içinde ;300.000 IU Vit. A palmitat, 50 mg Vit. E asetat , 100.000 IU Vit. D3",vit.-min.-aminoasit vb.,enjeksiyonluk,"At, Keçi (Besi), Keçi (Süt), Sığır(Süt), Koyun (Besi), Koyun (Süt), Sığır(Besi)","dana,düve,buzağı,kuzu,oğlak ve tayda"
İlaç,ADECEL,Çelikler İlaç San. Ve Tic. Ltd. Şti.,Yerli,Çelikler İlaç San. Ve Tic. Ltd. Şti.,-,-,-,"Karton kutu içinde 20 mL, 50 mL,100 mL , 250 mL ve 500 mL'lik amber renkli cam şişelerde sunulmaktadır.","1 ml ürün içinde ;300.000 IU Vit. A palmitat, 50 mg Vit. E asetat , 100.000 IU Vit. D3",vit.-min.-aminoasit vb.,enjeksiyonluk,"At, Keçi (Besi), Keçi (Süt), Sığır(Süt), Koyun (Besi), Koyun (Süt), Sığır(Besi)","dana,düve,buzağı,kuzu,oğlak ve tayda"
İlaç,ADECURE AD3E,Smyrna Veterinerlik Hizmetleri İlaç Ve Hayv.san.tic.ltd.şti.,Yerli,Mefar İlaç San. A.ş.,-,-,-,"20 ve 100 ml'lik amber renkli cam flakonlarda, kutu içerisinde","1 mL. ürün içinde ;500.000 İ.&amp;amp;amp;#220;. Vit. A, 75.000 İ.&amp;amp;amp;#220; Vit. D3, 50 mg Vit. E",vit.-min.-aminoasit vb.,enjeksiyonluk,"Keçi (Besi), Koyun (Besi), Sığır(Besi), Keçi (Süt), Koyun (Süt), Sığır(Süt), tavşan",
İlaç,ADECURE AD3E,Smyrna Veterinerlik Hizmetleri İlaç Ve Hayv.san.tic.ltd.şti.,Yerli,Mefar İlaç San. A.ş.,-,-,-,"20 ve 100 ml'lik amber renkli cam flakonlarda, kutu içerisinde","1 mL. ürün içinde ;500.000 İ.&amp;amp;amp;#220;. Vit. A, 75.000 İ.&amp;amp;amp;#220; Vit. D3, 50 mg Vit. E",vit.-min.-aminoasit vb.,enjeksiyonluk,"Keçi (Besi), Koyun (Besi), Sığır(Besi), Keçi (Süt), Koyun (Süt), Sığır(Süt), tavşan",
İlaç,ADECURE AD3E,Smyrna Veterinerlik Hizmetleri İlaç Ve Hayv.san.tic.ltd.şti.,Yerli,Mefar İlaç San. A.ş.,-,-,-,"20 ve 100 ml'lik amber renkli cam flakonlarda, kutu içerisinde","1 mL. ürün içinde ;500.000 İ.&amp;amp;amp;#220;. Vit. A, 75.000 İ.&amp;amp;amp;#220; Vit. D3, 50 mg Vit. E",vit.-min.-aminoasit vb.,enjeksiyonluk,"Keçi (Besi), Koyun (Besi), Sığır(Besi), Keçi (Süt), Koyun (Süt), Sığır(Süt), tavşan",
İlaç,ADEFORT,Mam-vet Vet. İlaç Aşı Medikal Malz. Kim. Ham. Hayv. Ürün. İth. İhr. San. Ve Tic. Ltd. Şti.,Yerli,Mefar İlaç San. A.ş.,-,-,-,"Karton kutularda 20 ml, 50ml , 100 ml ve 250 ml'lik kahverengi cam şişelerde sunulmuştur .","1 ml ürün içinde ;300.000 IU Vit. A propiyonat, 100.000 IU Vit. D3, 50 mg Vit. E asetat",vit.-min.-aminoasit vb.,enjeksiyonluk,"Keçi (Besi), Keçi (Süt), Koyun (Besi), Koyun (Süt), Sığır(Besi), Sığır(Süt)","dana,buzağı,kuzu ve oğlaklarda"
İlaç,ADEFORT,Mam-vet Vet. İlaç Aşı Medikal Malz. Kim. Ham. Hayv. Ürün. İth. İhr. San. Ve Tic. Ltd. Şti.,Yerli,Mefar İlaç San. A.ş.,-,-,-,"Karton kutularda 20 ml, 50ml , 100 ml ve 250 ml'lik kahverengi cam şişelerde sunulmuştur .","1 ml ürün içinde ;300.000 IU Vit. A propiyonat, 100.000 IU Vit. D3, 50 mg Vit. E asetat",vit.-min.-aminoasit vb.,enjeksiyonluk,"Keçi (Besi), Keçi (Süt), Koyun (Besi), Koyun (Süt), Sığır(Besi), Sığır(Süt)","dana,buzağı,kuzu ve oğlaklarda"
